Data,Região,Vendas,Produto
2024-03-11,RJ,612,Notebook
2024-04-24,SP,526,Notebook
2024-05-20,ES,385,Notebook
2024-02-02,ES,105,Notebook
2024-05-12,RJ,918,Monitor
2024-01-04,SP,877,Notebook
2024-03-20,ES,432,Webcam
2024-03-16,SP,654,Webcam
2024-05-19,MG,913,Webcam
2024-04-02,RJ,415,Teclado
2024-05-01,SP,425,Monitor
2024-04-25,SP,539,Mouse
2024-01-19,MG,879,Teclado
2024-02-23,ES,418,Webcam
2024-04-09,ES,448,Teclado
2024-01-20,RJ,690,Webcam
2024-04-18,RJ,322,Mouse
2024-02-27,RJ,194,Headset
2024-02-21,MG,148,Notebook
2024-02-06,RJ,951,Headset
2024-05-17,ES,643,Webcam
2024-05-13,RJ,743,Headset
2024-04-12,ES,844,Monitor
2024-03-16,ES,482,Notebook
2024-03-03,SP,247,Monitor
2024-02-23,SP,312,Notebook
2024-01-19,RJ,579,Mouse
2024-02-08,MG,989,Headset
2024-01-31,MG,888,Teclado
2024-01-06,RJ,916,Monitor
2024-03-21,SP,760,Monitor
2024-05-27,SP,183,Webcam
2024-03-22,MG,835,Notebook
2024-01-02,MG,899,Webcam
2024-05-02,SP,423,Monitor
2024-05-08,RJ,976,Notebook
2024-01-14,RJ,234,Mouse
2024-03-24,SP,709,Mouse
2024-02-18,ES,128,Webcam
2024-05-09,ES,148,Headset
2024-05-17,SP,540,Headset
2024-04-16,MG,384,Teclado
2024-04-02,ES,783,Mouse
2024-05-09,MG,283,Notebook
2024-05-01,MG,655,Webcam
2024-01-31,MG,992,Teclado
2024-01-31,MG,796,Webcam
2024-02-18,ES,658,Mouse
2024-02-17,ES,318,Mouse
2024-01-19,RJ,337,Webcam
2024-02-08,SP,836,Teclado
2024-02-20,SP,370,Teclado
2024-05-02,SP,185,Monitor
2024-01-09,MG,491,Headset
2024-05-09,RJ,734,Notebook
2024-03-21,RJ,386,Monitor
2024-05-27,RJ,996,Monitor
2024-01-17,RJ,139,Teclado
2024-03-18,RJ,162,Mouse
2024-05-28,RJ,233,Webcam
2024-01-30,MG,597,Headset
2024-01-02,ES,467,Mouse
2024-05-15,RJ,930,Teclado
2024-01-04,MG,984,Mouse
2024-01-27,SP,544,Monitor
2024-03-24,ES,229,Webcam
2024-03-24,ES,220,Mouse
2024-02-13,RJ,730,Webcam
2024-03-05,ES,466,Notebook
2024-05-14,RJ,592,Headset
2024-05-25,MG,337,Webcam
2024-03-31,SP,377,Notebook
2024-04-15,RJ,156,Monitor
2024-04-16,RJ,160,Teclado
2024-05-04,SP,253,Mouse
2024-03-06,RJ,244,Webcam
2024-02-06,MG,841,Notebook
2024-02-10,MG,612,Monitor
2024-03-04,MG,349,Notebook
2024-03-31,SP,530,Monitor
2024-05-08,MG,403,Teclado
2024-02-06,ES,606,Monitor
2024-05-11,SP,363,Headset
2024-01-13,MG,909,Webcam
2024-01-26,SP,173,Monitor
2024-02-09,SP,734,Mouse
2024-01-04,RJ,231,Notebook
2024-01-08,SP,591,Teclado
2024-05-16,ES,384,Teclado
2024-01-07,SP,499,Teclado
2024-01-11,RJ,755,Monitor
2024-01-09,RJ,868,Webcam
2024-05-08,SP,748,Monitor
2024-03-26,SP,666,Mouse
2024-04-11,ES,108,Mouse
2024-01-28,SP,849,Webcam
2024-05-03,ES,533,Mouse
2024-02-26,RJ,649,Notebook
2024-03-02,ES,115,Monitor
2024-03-23,SP,532,Webcam
2024-01-04,SP,589,Headset
2024-05-23,ES,753,Webcam
2024-03-26,RJ,787,Teclado
2024-03-12,SP,717,Monitor
2024-01-17,SP,155,Notebook
2024-03-31,SP,815,Webcam
2024-02-09,SP,421,Notebook
2024-03-06,RJ,449,Mouse
2024-02-28,RJ,597,Monitor
2024-05-17,SP,906,Headset
2024-05-26,ES,617,Notebook
2024-02-05,RJ,624,Headset
2024-04-02,SP,925,Teclado
2024-03-22,ES,701,Headset
2024-02-04,MG,837,Webcam
2024-03-15,MG,876,Teclado
2024-01-07,ES,111,Webcam
2024-05-26,ES,522,Headset
2024-04-21,MG,167,Notebook
2024-05-17,SP,147,Notebook
2024-05-08,SP,959,Notebook
2024-03-05,ES,722,Monitor
2024-01-11,MG,598,Monitor
2024-05-25,SP,543,Headset
2024-01-10,MG,438,Webcam
2024-02-15,SP,977,Mouse
2024-01-18,RJ,229,Teclado
2024-01-13,ES,803,Teclado
2024-05-25,SP,240,Teclado
2024-05-19,ES,487,Notebook
2024-02-06,MG,262,Teclado
2024-02-19,MG,667,Headset
2024-05-14,SP,395,Monitor
2024-05-11,SP,610,Headset
2024-03-13,ES,500,Monitor
2024-01-10,MG,808,Notebook
2024-04-12,MG,234,Notebook
2024-01-31,ES,131,Notebook
2024-04-25,ES,197,Teclado
2024-02-27,ES,327,Headset
2024-04-09,ES,960,Notebook
2024-05-07,RJ,753,Mouse
2024-04-30,ES,890,Notebook
2024-03-13,RJ,842,Teclado
2024-03-06,RJ,245,Notebook
2024-04-09,SP,531,Teclado
2024-02-21,ES,541,Monitor
2024-05-01,ES,920,Monitor
2024-02-20,MG,474,Headset
2024-04-14,RJ,855,Mouse
